champion	winRate	pickRate	BanRate	region
パンテオン	53.01%	1.61%	0.92%	ME
ゼラス	51.8%	1.61%	0.73%	ME
キヤナ	54.87%	1.59%	0.16%	ME
ゾーイ	50.64%	1.49%	0.69%	ME
アジール	50.64%	1.49%	0.33%	ME
ライズ	46.77%	1.2%	0.04%	ME
ヴェル＝コズ	53.33%	1.16%	0.76%	ME
スモルダー	40.67%	1.14%	0.33%	ME
グラガス	50%	1.12%	0.38%	ME
アニー	39.62%	1.03%	0.16%	ME
ジェイス	42%	0.97%	0.09%	ME
ナフィーリ	54.16%	0.93%	0.24%	ME
リヴェン	47.5%	0.77%	0.31%	ME
アンベッサ	53.84%	0.75%	4.32%	ME
フィドルスティックス	56.41%	0.75%	0.27%	ME
マルファイト	57.89%	0.73%	0.96%	ME
ビクター	50.19%	18.48%	34.25%	EUW
アーリ	51.07%	10.8%	5.06%	EUW
シンドラ	50.78%	8.83%	7.57%	EUW
サイラス	50.36%	8.34%	8.97%	EUW
ヤスオ	49.65%	6.9%	9.45%	EUW
アカリ	50.19%	6.66%	9.21%	EUW
ヨネ	48.4%	6.51%	6.03%	EUW
フェイ	49.64%	6.45%	6.42%	EUW
カタリナ	49.58%	6.34%	7.69%	EUW
ゼド	49.46%	5.09%	9.04%	EUW
オーロラ	50.04%	4.91%	12.9%	EUW
オリアナ	49.08%	4.76%	0.75%	EUW
ガリオ	50.89%	4.74%	3.2%	EUW
ラックス	50.22%	3.77%	0.68%	EUW
エコー	50.71%	3.6%	0.64%	EUW
マルザハール	49.75%	3.6%	2.75%	EUW
ルブラン	48.89%	3.58%	13.6%	EUW
カサディン	50.23%	3.43%	5.41%	EUW
ゼラス	50.45%	3.36%	1.17%	EUW
フィズ	49.94%	3.31%	3.98%	EUW
ブラッドミア	49.36%	3.24%	2.55%	EUW
アクシャン	50.48%	3.21%	3.7%	EUW
イレリア	51%	3.02%	4.49%	EUW
ベイガー	50.67%	2.93%	0.38%	EUW
ヴェックス	51.7%	2.9%	4.39%	EUW
タロン	51.18%	2.69%	0.89%	EUW
アニビア	52.09%	2.68%	1.93%	EUW
リサンドラ	50.31%	2.65%	0.98%	EUW
キヤナ	50.65%	2.62%	0.72%	EUW
ライズ	50.73%	2.6%	0.24%	EUW
ヴェル＝コズ	51.3%	2.37%	0.5%	EUW
ゾーイ	50.69%	2.31%	0.72%	EUW
ダイアナ	50.53%	2.28%	0.64%	EUW
タリヤ	51.37%	2.16%	0.45%	EUW
ツイステッド・フェイト	50.38%	2.13%	0.08%	EUW
アジール	49.98%	2.03%	0.24%	EUW
カシオペア	50.85%	2%	1.61%	EUW
オレリオン・ソル	50.26%	1.86%	0.57%	EUW
スウェイン	49.09%	1.84%	1.06%	EUW
ジェイス	47.41%	1.8%	0.25%	EUW
スモルダー	42.53%	1.45%	0.4%	EUW
グラガス	49.94%	1.09%	0.57%	EUW
コーキ	49.06%	1.05%	0.99%	EUW
ナフィーリ	50.37%	1.01%	0.36%	EUW
ケイル	50.91%	0.98%	0.27%	EUW
アニー	50.46%	0.87%	0.13%	EUW
アンベッサ	49%	0.87%	4.81%	EUW
マルファイト	50.92%	0.75%	1.27%	EUW
ニーコ	51.21%	0.68%	0.14%	EUW
ジグス	48.5%	0.66%	0.16%	EUW
ビクター	50.42%	17.78%	29.7%	EUME
アーリ	50.85%	10.28%	5.74%	EUME
ケイル	53.36%	1.7%	1.02%	EUME
アニビア	52.92%	1.99%	1.35%	EUME
ヴェックス	51.87%	3.27%	5.36%	EUME
ラックス	50.75%	5.91%	1.56%	EUME
ヴェル＝コズ	52.4%	2%	0.61%	EUME
マルザハール	50.96%	4.9%	6.94%	EUME
ベイガー	51.38%	3.81%	1.02%	EUME
シンドラ	49.81%	8.75%	7.9%	EUME
ケネン	53.81%	0.67%	0.32%	EUME
カサディン	50.97%	4.15%	5.93%	EUME
ガリオ	50.95%	4.17%	2.39%	EUME
サイラス	50.04%	6.98%	6.57%	EUME
ブラッドミア	50.4%	5.06%	6.79%	EUME
カタリナ	49.63%	8.36%	10.07%	EUME
カシオペア	52.22%	1.65%	1.21%	EUME
フェイ	50.26%	5.28%	6.44%	EUME
タロン	51.41%	2.53%	0.38%	EUME
ヤスオ	49.37%	7.83%	10.26%	EUME
オレリオン・ソル	51.52%	2.18%	0.89%	EUME
グラガス	52.35%	1.14%	0.68%	EUME
ゼド	49.56%	6.28%	15.78%	EUME
エコー	50.79%	3.21%	0.59%	EUME
オーロラ	50.21%	4.11%	8.79%	EUME
チョ＝ガス	53.17%	0.62%	0.13%	EUME
リサンドラ	49.95%	5.14%	3.2%	EUME
キヤナ	50.86%	2.63%	0.89%	EUME
アクシャン	50.47%	3%	2.25%	EUME
イレリア	50.42%	2.78%	3.89%	EUME
アカリ	49.48%	5.4%	5.42%	EUME
ライズ	50.59%	2.4%	0.22%	EUME
ナフィーリ	51.59%	1.17%	0.5%	EUME
ダイアナ	50.29%	2.55%	0.76%	EUME
フィズ	49.87%	3.26%	5.83%	EUME
ゼラス	49.83%	3.32%	1.49%	EUME
タリヤ	51.14%	1.36%	0.23%	EUME
マルファイト	51.62%	0.83%	1.47%	EUME
オリアナ	49.47%	3.71%	0.51%	EUME
ガレン	52.23%	0.53%	0.27%	EUME
ヨネ	48.3%	5.43%	4.01%	EUME
アジール	50.24%	1.69%	0.25%	EUME
スウェイン	49.57%	2.09%	1.22%	EUME
アンベッサ	50.45%	0.68%	3.79%	EUME
ゾーイ	49.38%	2.04%	0.49%	EUME
ツイステッド・フェイト	49.54%	1.8%	0.09%	EUME
ブランド	50.72%	0.52%	0.33%	EUME
ルブラン	47.51%	3.15%	7.64%	EUME
アニー	49.08%	1.16%	0.22%	EUME
コーキ	49.85%	0.64%	0.51%	EUME
クレッド	66.66%	0.52%	0.17%	Oceania
ハイマーディンガー	59.88%	0.54%	0.31%	Oceania
ヌヌ＆ウィルンプ	58.73%	0.67%	0.15%	Oceania
ガリオ	52.65%	7.09%	10.25%	Oceania
ビクター	49.22%	17.35%	34.49%	Oceania
アーリ	50.89%	9.89%	5.57%	Oceania
タリヤ	54.04%	2.06%	0.9%	Oceania
ヨネ	50.21%	7.69%	5.83%	Oceania
アクシャン	51.88%	3.64%	5.53%	Oceania
クイン	55.32%	0.79%	0.2%	Oceania
シンドラ	50.22%	7.2%	4.73%	Oceania
レネクトン	55.2%	0.62%	0.58%	Oceania
アニビア	51.76%	3.05%	2.89%	Oceania
カサディン	51.38%	3.18%	3.49%	Oceania
